ticker,date,total_volume,call_volume,put_volume,open_interest,vol_oi_ratio,put_call_ratio,top_call_strike,top_call_strike_volume,top_call_expiry,top_put_strike,top_put_strike_volume,top_put_expiry,stock_price
HUT,2026-07-10,20546,11415,9131,83098,0.25,0.8,110.0,1274.0,2026-07-17,102.0,3031.0,2026-07-10,103.91999816894533
CTRE,2026-07-10,550,515,35,1340,0.41,0.07,40.0,268.0,2026-07-17,37.5,21.0,2026-08-21,40.18999862670898
AGX,2026-07-10,1038,417,621,7494,0.14,1.49,960.0,78.0,2026-07-17,490.0,75.0,2026-08-21,639.27001953125
COMP,2026-07-10,5245,3802,1443,67237,0.08,0.38,12.0,1800.0,2026-07-17,10.0,750.0,2026-08-21,11.80500030517578
SNEX,2026-07-10,217,148,69,2266,0.1,0.47,145.0,22.0,2026-08-21,130.0,11.0,2026-07-17,119.13999938964844
ALKS,2026-07-10,1764,1177,587,16252,0.11,0.5,40.0,500.0,2026-07-17,35.0,250.0,2026-07-17,52.290000915527344
PTGX,2026-07-10,371,280,91,1981,0.19,0.32,135.0,51.0,2026-08-21,90.0,35.0,2026-07-17,131.63499450683594
QBTS,2026-07-10,18627,11720,6907,159616,0.12,0.59,19.5,1517.0,2026-07-10,20.0,1325.0,2026-07-10,20.31999969482422
MXL,2026-07-10,1433,916,517,30906,0.05,0.56,185.0,155.0,2026-08-21,40.0,70.0,2026-07-17,92.26499938964844
FSS,2026-07-10,255,61,194,1710,0.15,3.18,130.0,15.0,2026-07-17,110.0,176.0,2026-07-17,116.8126983642578
RIOT,2026-07-10,21091,7278,13813,291831,0.07,1.9,22.0,1216.0,2026-07-10,27.0,10525.0,2026-07-10,21.26000022888184
TEX,2026-07-10,3023,1504,1519,10452,0.29,1.01,70.0,603.0,2026-08-21,65.0,713.0,2026-08-21,68.16999816894531
PCVX,2026-07-10,205,67,138,4864,0.04,2.06,65.0,38.0,2026-08-21,55.0,90.0,2026-07-17,58.37990188598633
PRAX,2026-07-10,451,269,182,2192,0.21,0.68,410.0,93.0,2026-08-21,200.0,35.0,2026-07-17,322.8900146484375
TGTX,2026-07-10,3358,1393,1965,31240,0.11,1.41,65.0,314.0,2026-07-17,44.0,1299.0,2026-08-21,57.250099182128906
HIMS,2026-07-10,54511,38861,15650,256191,0.21,0.4,35.0,7033.0,2026-07-10,20.0,3505.0,2026-07-17,34.244998931884766
JBTM,2026-07-10,459,46,413,325,1.41,8.98,150.0,15.0,2026-07-17,130.0,400.0,2026-07-17,138.28500366210938
OSCR,2026-07-10,3796,1807,1989,61289,0.06,1.1,31.0,238.0,2026-07-10,31.0,331.0,2026-07-17,30.59000015258789
EAT,2026-07-10,630,301,329,3814,0.17,1.09,195.0,123.0,2026-07-17,160.0,199.0,2026-07-17,188.5657958984375
IDCC,2026-07-10,768,506,262,1372,0.56,0.52,330.0,200.0,2026-08-21,220.0,101.0,2026-07-17,266.6799011230469
SLAB,2026-07-10,1748,459,1289,7011,0.25,2.81,220.0,200.0,2026-07-17,185.0,390.0,2026-08-21,218.80499267578125
NPO,2026-07-10,1634,24,1610,994,1.64,67.08,350.0,5.0,2026-07-17,330.0,700.0,2026-07-17,333.69000244140625
VLY,2026-07-10,227,216,11,1099,0.21,0.05,16.0,104.0,2026-08-21,11.0,5.0,2026-07-17,14.69499969482422
LNTH,2026-07-10,237,186,51,2567,0.09,0.27,110.0,37.0,2026-07-17,115.0,6.0,2026-08-21,106.23030090332033
MRCY,2026-07-10,1073,112,961,2689,0.4,8.58,115.0,15.0,2026-07-17,80.0,350.0,2026-07-17,110.03500366210938
KYMR,2026-07-10,412,171,241,1676,0.25,1.41,65.0,26.0,2026-07-17,75.0,100.0,2026-07-17,119.74500274658205
FLR,2026-07-10,469,206,263,50321,0.01,1.28,70.0,51.0,2026-07-17,30.0,60.0,2026-07-17,50.779598236083984
SSRM,2026-07-10,1838,1447,391,9901,0.19,0.27,25.0,552.0,2026-07-17,30.0,117.0,2026-08-21,28.76000022888184
KGS,2026-07-10,5092,119,4973,5384,0.95,41.79,30.0,20.0,2026-07-17,40.0,4301.0,2026-07-17,67.30999755859375
CVLT,2026-07-10,416,195,221,4130,0.1,1.13,170.0,41.0,2026-07-17,155.0,107.0,2026-07-17,150.4250030517578
CORZ,2026-07-10,25667,17466,8201,372820,0.07,0.47,30.0,7547.0,2026-07-17,22.0,2111.0,2026-07-17,23.88500022888184
CIFR,2026-07-10,33935,27724,6211,220981,0.15,0.22,23.0,4189.0,2026-07-10,20.0,1000.0,2026-07-17,22.625
NUVL,2026-07-10,796,425,371,24556,0.03,0.87,120.0,200.0,2026-07-17,85.0,167.0,2026-07-17,123.88500213623048
SM,2026-07-10,3688,2275,1413,41973,0.09,0.62,17.5,2018.0,2026-07-17,35.0,1200.0,2026-07-17,27.6299991607666
SYRE,2026-07-10,987,627,360,6818,0.14,0.57,95.0,220.0,2026-07-17,75.0,250.0,2026-08-21,98.13999938964844
VSEC,2026-07-10,349,121,228,1903,0.18,1.88,270.0,70.0,2026-08-21,165.0,70.0,2026-08-21,211.80999755859372
GVA,2026-07-10,347,273,74,651,0.53,0.27,135.0,193.0,2026-07-17,115.0,19.0,2026-07-17,121.13899993896484
COGT,2026-07-10,667,530,137,12659,0.05,0.26,40.0,301.0,2026-07-17,38.0,85.0,2026-07-17,39.209999084472656
JXN,2026-07-10,1898,496,1402,3759,0.5,2.83,115.0,270.0,2026-07-17,90.0,1001.0,2026-08-21,119.19000244140624
LGND,2026-07-10,235,177,58,979,0.24,0.33,340.0,60.0,2026-07-17,260.0,6.0,2026-07-17,315.0199890136719
KLIC,2026-07-10,379,161,218,4492,0.08,1.35,120.0,13.0,2026-08-21,100.0,51.0,2026-07-17,114.4749984741211
SRRK,2026-07-10,595,51,544,3810,0.16,10.67,65.0,11.0,2026-07-17,40.0,248.0,2026-08-21,56.68989944458008
MATX,2026-07-10,242,220,22,1130,0.21,0.1,200.0,191.0,2026-07-17,200.0,10.0,2026-07-17,204.7350006103516
TWST,2026-07-10,694,195,499,3356,0.21,2.56,90.0,35.0,2026-07-17,57.5,329.0,2026-07-17,91.15499877929688
AUB,2026-07-10,207,130,77,561,0.37,0.59,45.0,100.0,2026-07-17,25.0,71.0,2026-07-17,41.935001373291016
RGTI,2026-07-10,23581,13387,10194,293268,0.08,0.76,23.0,3783.0,2026-07-17,12.0,3552.0,2026-07-17,16.735000610351562
APGE,2026-07-10,370,238,132,14267,0.03,0.55,135.0,126.0,2026-07-17,65.0,58.0,2026-07-17,133.6699981689453
LTH,2026-07-10,235,182,53,5132,0.05,0.29,45.0,115.0,2026-07-17,22.5,17.0,2026-07-17,42.15999984741211
XENE,2026-07-10,1847,1681,166,13481,0.14,0.1,75.0,622.0,2026-08-21,35.0,70.0,2026-07-17,69.12000274658203
LUMN,2026-07-10,3424,2460,964,97084,0.04,0.39,7.0,953.0,2026-07-10,8.0,149.0,2026-07-10,6.800000190734863
TXNM,2026-07-10,382,168,214,476,0.8,1.27,70.0,112.0,2026-08-21,50.0,200.0,2026-07-17,56.84999847412109
NOVT,2026-07-10,954,424,530,623,1.53,1.25,200.0,150.0,2026-08-21,150.0,500.0,2026-07-17,156.99000549316406
DFTX,2026-07-10,12648,11888,760,37033,0.34,0.06,60.0,8641.0,2026-07-17,46.0,102.0,2026-07-17,46.845001220703125
JOBY,2026-07-10,12711,8073,4638,138439,0.09,0.57,8.0,4440.0,2026-07-10,8.0,690.0,2026-07-17,7.829999923706055
VSH,2026-07-10,1552,907,645,62396,0.02,0.71,5.0,250.0,2026-07-17,75.0,107.0,2026-07-17,44.77000045776367
AIR,2026-07-10,283,203,80,1352,0.21,0.39,150.0,100.0,2026-07-17,165.0,10.0,2026-07-17,136.98500061035156
CRSP,2026-07-10,3242,2399,843,14765,0.22,0.35,55.0,374.0,2026-07-17,50.0,138.0,2026-07-17,54.08000183105469
GTX,2026-07-10,1392,1314,78,2681,0.52,0.06,27.0,512.0,2026-07-17,24.0,30.0,2026-08-21,32.61000061035156
LQDA,2026-07-10,8285,6751,1534,70577,0.12,0.23,90.0,2893.0,2026-07-17,47.5,272.0,2026-07-17,78.13999938964844
MTH,2026-07-10,2602,1372,1230,3158,0.82,0.9,82.5,662.0,2026-08-21,72.5,662.0,2026-08-21,76.50250244140625
VSXY,2026-07-10,3625,270,3355,14178,0.26,12.43,80.0,118.0,2026-07-17,85.0,3128.0,2026-07-17,78.00499725341797
UEC,2026-07-10,3892,2405,1487,41602,0.09,0.62,10.0,537.0,2026-07-10,10.0,344.0,2026-07-10,10.529999732971191
ROAD,2026-07-10,499,148,351,2859,0.17,2.37,130.0,24.0,2026-07-17,80.0,209.0,2026-08-21,96.5
AX,2026-07-10,283,121,162,1707,0.17,1.34,85.0,20.0,2026-08-21,40.0,60.0,2026-07-17,97.8499984741211
CGON,2026-07-10,1105,417,688,59228,0.02,1.65,40.0,126.0,2026-07-17,65.0,477.0,2026-08-21,73.77999877929688
PSMT,2026-07-10,559,260,299,396,1.41,1.15,155.0,200.0,2026-07-17,145.0,200.0,2026-07-17,197.9850006103516
RDN,2026-07-10,200,120,80,570,0.35,0.67,20.0,30.0,2026-08-21,38.0,24.0,2026-08-21,37.619998931884766
QLYS,2026-07-10,211,132,79,4365,0.05,0.6,135.0,50.0,2026-07-17,135.0,22.0,2026-07-17,152.9199981689453
YOU,2026-07-10,1482,838,644,18532,0.08,0.77,49.8,201.0,2026-08-21,45.8,217.0,2026-08-21,54.59000015258789
ACMR,2026-07-10,2680,1545,1135,30623,0.09,0.73,135.0,302.0,2026-07-17,84.0,227.0,2026-07-10,104.58000183105467
TVTX,2026-07-10,666,607,59,3554,0.19,0.1,50.0,254.0,2026-07-17,42.5,14.0,2026-07-17,56.540000915527344
LMND,2026-07-10,2681,1780,901,28602,0.09,0.51,44.5,396.0,2026-07-10,75.0,168.0,2026-07-17,70.37999725341797
RIG,2026-07-10,2789,2227,562,51396,0.05,0.25,12.0,816.0,2026-07-10,1.5,167.0,2026-07-10,5.144999980926514
BOOT,2026-07-10,253,89,164,6573,0.04,1.84,300.0,20.0,2026-08-21,160.0,55.0,2026-07-17,162.30499267578125
VRNS,2026-07-10,8580,198,8382,22839,0.38,42.33,45.0,124.0,2026-07-17,35.0,4619.0,2026-07-17,44.209999084472656
TTAN,2026-07-10,380,281,99,10354,0.04,0.35,90.0,63.0,2026-07-17,80.0,18.0,2026-07-17,77.51499938964844
GLNG,2026-07-10,412,319,93,8388,0.05,0.29,55.0,162.0,2026-08-21,45.0,24.0,2026-08-21,50.959999084472656
EBC,2026-07-10,1715,1702,13,885,1.94,0.01,5.0,700.0,2026-07-17,20.0,5.0,2026-07-17,22.28499984741211
INDV,2026-07-10,224,167,57,19623,0.01,0.34,40.0,62.0,2026-07-17,35.0,10.0,2026-07-17,40.56999969482422
PBF,2026-07-10,4767,1804,2963,15655,0.3,1.64,55.0,1443.0,2026-08-21,49.0,2554.0,2026-07-17,52.59000015258789
UCTT,2026-07-10,1022,526,496,9237,0.11,0.94,160.0,289.0,2026-07-17,105.0,242.0,2026-07-17,107.30500030517578
